Year,N,R2_Base,R2_Aug,Impr_pp
2015,490,-0.02009855067780819,-0.026074048719721743,-0.5975498041913552
2016,1648,0.023335759331475914,0.015147939051468384,-0.818782028000753
2017,2759,-0.018023541266298793,-0.005498651663809806,1.2524889602488987
2018,3776,0.002737569409571705,0.0036549441727921073,0.09173747632204021
2019,4155,0.015766829014053796,0.016147437546734755,0.03806085326809594
2020,4394,-0.00578582984725462,-0.006841211574802664,-0.10553817275480437
2021,3038,0.014542893236663357,0.013902023392931562,-0.0640869843731795
2022,4066,0.0063496558524296365,0.005321888767489735,-0.10277670849399012
2023,4511,0.02433962081859009,0.024687430668639876,0.034780985004978504
2024,3246,0.0109517108119781,0.012527075127515053,0.15753643155369534
